Misurazioni,Nodo1 CPU,Nodo1 Memory,Nodo2 CPU,Nodo2 Memory,Nodo3 CPU,Nodo3 Memory,Nodo4 CPU,Nodo4 Memory,Nodo5 CPU,Nodo5 Memory,Nodo6 CPU,Nodo6 Memory,Nodo7 CPU,Nodo7 Memory
1,0.0068571428571344555,971665408,0.005964285714289763,744345600,0.005630952380930207,1570955264,0.004285714285717697,715522048,0.006571428571401212,763535360,0.003976190476199312,760791040,0.0038214285714378176,744488960
2,0.007785714285703413,971665408,0.0073690476190390215,744345600,0.005833333333371878,1570955264,0.004130952380960533,715522048,0.007023809523790956,763535360,0.0047261904761534265,760791040,0.004190476190468319,744497152
3,0.006690476190511791,971653120,0.006166666666682171,744345600,0.006452380952346934,1570955264,0.004369047619043374,715526144,0.007547619047627073,763539456,0.004226190476195836,760791040,0.004000000000001098,744501248
4,0.006642857142844064,971653120,0.007107142857151822,744345600,0.005464285714310792,1570955264,0.004023809523804781,715530240,0.0070357142856967885,763539456,0.004357142857154323,760795136,0.004083333333333951,744505344
5,0.006988095238098357,971653120,0.005833333333326404,744345600,0.005690476190469392,1570955264,0.004416666666666711,715530240,0.008357142857179107,763539456,0.004380952380955434,760799232,0.004166666666669643,744509440
6,0.007619047619029862,971665408,0.006130952380934624,744345600,0.005440476190473136,1570955264,0.004202380952383897,715534336,0.006726190476170012,763539456,0.004238095238101737,760799232,0.004535714285711312,744509440
7,0.006726190476192208,971665408,0.005809523809548301,744345600,0.00641666666666922,1570955264,0.004369047619055014,715538432,0.007571428571438198,763539456,0.004000000000000693,760799232,0.004011904761911128,744513536
8,0.006738095238096147,971665408,0.007107142857139913,744345600,0.005130952380942571,1570955264,0.00410714285713831,715542528,0.00683333333332387,763535360,0.004488095238077351,760799232,0.004238095238099774,744513536
9,0.007630952380945711,971661312,0.0058928571428293166,744345600,0.0058214285714273395,1570955264,0.004523809523809606,715550720,0.00796428571427468,763535360,0.004261904761920105,760799232,0.004035714285706014,744517632
10,0.006476190476183504,971665408,0.0059523809524156005,744345600,0.0054880952380916,1570955264,0.004071428571433665,715550720,0.006773809523852897,763535360,0.004357142857134835,760799232,0.004285714285721757,744525824
