Misurazioni,Nodo1 CPU,Nodo1 Memory,Nodo2 CPU,Nodo2 Memory,Nodo3 CPU,Nodo3 Memory,Nodo4 CPU,Nodo4 Memory,Nodo5 CPU,Nodo5 Memory,Nodo6 CPU,Nodo6 Memory,Nodo7 CPU,Nodo7 Memory
1,0.007452380952392041,925163520,0.006892857142852768,744353792,0.005750000000021028,1571667968,0.0072261904761776775,770297856,0.01088095238093599,741388288,0.007547619047615499,768479232,0.007619047619041229,755597312
2,0.006773809523819875,925184000,0.006285714285754045,744353792,0.005249999999971676,1571667968,0.007559523809532499,770334720,0.012452380952393986,741412864,0.007547619047629508,768507904,0.0075952380952371435,755609600
3,0.006595238095214231,925175808,0.005773809523770437,744353792,0.006428571428569914,1571667968,0.007380952380944855,770322432,0.02816666666662589,820101120,0.007428571428565485,768512000,0.007964285714291194,755589120
4,0.006607142857174472,925175808,0.006845238095232681,744353792,0.0055119047619005615,1571667968,0.0074761904761966695,770342912,0.014380952380981254,736325632,0.007440476190462927,768503808,0.007357142857131835,755556352
5,0.007607142857129172,925175808,0.006440476190499837,744353792,0.00554761904761346,1571667968,0.0071904761904774996,770306048,0.012571428571423094,736305152,0.008202380952388379,768516096,0.007547619047619493,755585024
6,0.006821428571406396,925175808,0.006035714285701487,744353792,0.005476190476225558,1571667968,0.007511904761901177,770322432,0.010916666666656466,736301056,0.007273809523808322,768479232,0.007404761904764374,755609600
7,0.007833333333324585,925175808,0.006964285714295894,744353792,0.006666666666650861,1571667968,0.007464285714295167,770297856,0.012773809523836072,736317440,0.0083214285714432,768479232,0.008178571428575764,755593216
8,0.006714285714305593,925175808,0.006035714285702029,744353792,0.005178571428569695,1571667968,0.008202380952380258,770301952,0.011559523809512483,736350208,0.007595238095233623,768491520,0.007297619047616066,755585024
9,0.0075357142857120345,925175808,0.006940476190492345,744353792,0.006857142857150697,1571667968,0.0076309523809354254,770326528,0.011964285714348459,736350208,0.007892857142870333,768520192,0.00786904761905156,755630080
10,0.006607142857136579,925175808,0.005833333333328571,744353792,0.005321428571446199,1571667968,0.007249999999995572,770367488,0.010821428571367302,736350208,0.008154761904749884,768524288,0.00830952380952302,755666944
