Misurazioni,Nodo1 CPU,Nodo1 Memory,Nodo2 CPU,Nodo2 Memory,Nodo3 CPU,Nodo3 Memory,Nodo4 CPU,Nodo4 Memory,Nodo5 CPU,Nodo5 Memory,Nodo6 CPU,Nodo6 Memory,Nodo7 CPU,Nodo7 Memory
1,0.006749999999980597,971665408,0.006047619047633578,744345600,0.005738095238086773,1570955264,0.004869047619047521,716775424,0.00799999999995537,765140992,0.005297619047603944,762023936,0.005154761904760736,745902080
2,0.006785714285732476,971665408,0.005738095238091102,744345600,0.005357142857163429,1570955264,0.004702380952378841,716775424,0.008964285714338736,765153280,0.004904761904759338,762023936,0.004869047619052394,745926656
3,0.007571428571396782,971665408,0.006071428571414929,744345600,0.006047619047592977,1570955264,0.0048928571428610845,716779520,0.008023809523808451,765153280,0.005023809523833919,762036224,0.005071428571425179,745926656
4,0.006440476190492258,971665408,0.007059523809524697,744345600,0.005857142857166764,1570955264,0.004857142857148456,716783616,0.007607142857131066,765153280,0.005130952380936617,762048512,0.0047976190476192865,745938944
5,0.008047619047604149,971665408,0.006428571428581824,744345600,0.006297619047611427,1570955264,0.005023809523800015,716783616,0.009249999999948818,765153280,0.005333333333337956,762056704,0.005380952380963186,745943040
6,0.006761904761938672,971665408,0.006809523809531691,744345600,0.005642857142848762,1570955264,0.0047142857142789905,716783616,0.007654761904835335,765153280,0.005142857142841369,762060800,0.004666666666654302,745963520
7,0.007047619047620218,971665408,0.006226190476172634,744345600,0.005595238095249789,1570955264,0.004964285714290132,716787712,0.009023809523778037,765161472,0.0050952380952475375,762064896,0.00523809523808479,745996288
8,0.006857142857110634,971665408,0.005714285714302172,744345600,0.005428571428567575,1570955264,0.004607142857147059,716791808,0.008154761904756112,765161472,0.005190476190476615,762068992,0.004821428571429601,746033152
9,0.007428571428584162,971665408,0.006023809523798631,744345600,0.006416666666651899,1570955264,0.004916666666662466,716800000,0.007869047619028824,765161472,0.00483333333332657,762073088,0.005297619047635072,746053632
10,0.006535714285714024,971665408,0.006845238095227269,744345600,0.005535714285727386,1570955264,0.004964285714284719,716800000,0.008357142857156368,765161472,0.005261904761919196,762077184,0.0049642857142752446,746057728
