Misurazioni,Nodo1 CPU,Nodo1 Memory,Nodo2 CPU,Nodo2 Memory,Nodo3 CPU,Nodo3 Memory,Nodo4 CPU,Nodo4 Memory,Nodo5 CPU,Nodo5 Memory,Nodo6 CPU,Nodo6 Memory,Nodo7 CPU,Nodo7 Memory
1,0.006964285714278568,971685888,0.006119047619039346,744349696,0.00596428571426865,1570955264,0.00726190476190763,720732160,0.01176190476184101,764919808,0.007535714285733958,765845504,0.007130952380957536,751730688
2,0.007702380952388835,971685888,0.0070357142857130316,744349696,0.006821428571424804,1570955264,0.006928571428570033,720723968,0.010107142857182116,764895232,0.007119047619044934,765808640,0.0073095238095144555,751714304
3,0.006880952380949914,971685888,0.005869047619033348,744349696,0.005797619047609714,1570955264,0.0069166666666684974,720666624,0.01101190476190693,764858368,0.00736904761904633,765796352,0.006988095238109591,751689728
4,0.007535714285720694,971685888,0.0061071428571538135,744349696,0.005904761904764654,1570955264,0.006869047619030003,720654336,0.010047619047595836,764866560,0.006797619047623489,765825024,0.007392857142856644,751697920
5,0.006797619047614762,971685888,0.005976190476186665,744349696,0.005714285714300548,1570955264,0.007059523809537151,720666624,0.011035714285726984,764915712,0.007107142857110409,765861888,0.0071190476190495355,751714304
6,0.006535714285714028,971685888,0.006630952380946621,744349696,0.006238095238086318,1570955264,0.0066190476190378785,720719872,0.010785714285721804,764940288,0.007130952380977566,765890560,0.007178571428556306,751742976
7,0.009440476190467877,971685888,0.00858333333331768,744349696,0.005488095238088894,1570955264,0.007178571428587095,720744448,0.011261904761960026,764973056,0.0071190476190625285,765906944,0.0071428571428758195,751771648
8,0.007500000000027285,971685888,0.00586904761908099,744349696,0.008119047619045108,1570959360,0.0068809523809481524,720756736,0.011690476190419002,764977152,0.0069999999999930925,765919232,0.00713095238093676,751788032
9,0.0066785714285331425,971685888,0.00582142857140406,744349696,0.005261904761902142,1570959360,0.00714285714286364,720764928,0.010023809523796078,764977152,0.006726190476174953,765919232,0.007035714285712354,751792128
10,0.006607142857158231,971689984,0.00604761904765036,744349696,0.005523809523829944,1570959360,0.006845238095224562,720773120,0.011071428571417689,764977152,0.007452380952390144,765919232,0.006964285714281546,751800320
