Misurazioni,Nodo1 CPU,Nodo1 Memory,Nodo2 CPU,Nodo2 Memory,Nodo3 CPU,Nodo3 Memory,Nodo4 CPU,Nodo4 Memory,Nodo5 CPU,Nodo5 Memory,Nodo6 CPU,Nodo6 Memory,Nodo7 CPU,Nodo7 Memory
1,0.006869047619038394,1029877760,0.007071428571419432,842358784,0.005666666666618745,1631334400,0.007833333333344886,838721536,0.01307142857148327,599273472,0.008071428571415074,835612672,0.008714285714283,828604416
2,0.006654761904773989,1029877760,0.005642857142857425,842358784,0.006642857142866259,1631334400,0.007619047619024244,838684672,0.01136904761898612,599289856,0.008083333333349261,835600384,0.008130952380951753,828616704
3,0.006726190476181382,1029877760,0.005666666666666926,842358784,0.005369047619056,1631334400,0.007702380952390729,838709248,0.012500000000053595,599244800,0.007809523809514,835588096,0.008273809523808224,828628992
4,0.008345238095242687,1029877760,0.007178571428581952,842358784,0.007119047619051431,1631334400,0.007666666666659422,838672384,0.012535714285681229,599224320,0.008273809523794962,835600384,0.008500000000005533,828616704
5,0.006857142857145282,1029877760,0.006119047619049633,842358784,0.005607142857145607,1631334400,0.008357142857143512,838721536,0.012464285714274109,599199744,0.008309523809542778,835575808,0.00882142857142948,828604416
6,0.00769047619047082,1029877760,0.0070000000000006715,842358784,0.005654761904760822,1631334400,0.007642857142865079,838672384,0.012047619047631913,599248896,0.008047619047623097,835588096,0.008226190476197881,828604416
7,0.0066190476190567575,1029877760,0.005845238095206522,842358784,0.0057976190476432795,1631334400,0.007738095238083328,838696960,0.01189285714288179,599257088,0.007892857142850507,835551232,0.008773809523799107,828530688
8,0.006607142857128998,1029877760,0.006011904761888736,842358784,0.006845238095201281,1631338496,0.007833333333350569,838647808,0.011285714285717556,599257088,0.00782142857144264,835551232,0.00798809523809095,828530688
9,0.007440476190478356,1029877760,0.005785714285763702,842358784,0.005416666666691786,1631334400,0.008249999999983024,838660096,0.013238095238059378,599293952,0.008071428571410404,835502080,0.008452380952372725,828530688
10,0.006535714285722687,1029877760,0.006785714285709197,842358784,0.005523809523795838,1631334400,0.007738095238099569,838696960,0.012809523809546267,599330816,0.00785714285712786,835477504,0.008488095238121083,828579840
