Misurazioni,Nodo1 CPU,Nodo1 Memory,Nodo2 CPU,Nodo2 Memory,Nodo3 CPU,Nodo3 Memory,Nodo4 CPU,Nodo4 Memory,Nodo5 CPU,Nodo5 Memory,Nodo6 CPU,Nodo6 Memory,Nodo7 CPU,Nodo7 Memory
1,0.006976190476180342,971685888,0.006095238095234176,744349696,0.0057500000000313125,1570955264,0.006559523809509995,719343616,0.009476190476177796,768450560,0.006619047619057298,764534784,0.006380952380945631,749191168
2,0.0076904761904610765,971685888,0.00584523809524875,744349696,0.005738095238090561,1570955264,0.0061428571428656315,719343616,0.009345238095290498,768450560,0.006559523809507558,764542976,0.006368623044189877,749203456
3,0.006714285714289353,971685888,0.007119047619066048,744349696,0.00646428571429364,1570955264,0.006321428571423363,719347712,0.010369047619042247,768450560,0.00663095238095102,764547072,0.006667111140729884,749207552
4,0.006559523809533815,971685888,0.006047619047609758,744349696,0.005750000000011283,1570955264,0.006190476190480035,719351808,0.009214285714231317,768454656,0.006404761904769072,764551168,0.006559523809524612,749211648
5,0.007940476190468698,971685888,0.006226190476193746,744349696,0.005642857142836311,1570955264,0.006130952380951407,719355904,0.010333333333368597,768454656,0.006523809523817937,764559360,0.006476190476200557,749211648
6,0.006761904761893199,971685888,0.00608333333333457,744349696,0.005428571428597348,1570955264,0.006369047619059827,719360000,0.009154761904751953,768454656,0.006392857142829133,764559360,0.006166666666666133,749223936
7,0.006821428571447541,971685888,0.0072619047618992395,744349696,0.006095238095181121,1570955264,0.006369047619033163,719360000,0.00942857142858424,768454656,0.00667857142857483,764567552,0.006202380952373958,749228032
8,0.007392857142864764,971685888,0.005988095238080318,744349696,0.006357142857176595,1570955264,0.0062499999999964815,719364096,0.01064285714285017,768454656,0.006464285714286332,764571648,0.00607142857142332,749228032
9,0.007821428571417396,971673600,0.007607142857160571,744349696,0.006261904761910977,1570955264,0.006523809523801695,719368192,0.009583333333305943,765571072,0.007011904761910024,764575744,0.006678571428580783,749240320
10,0.007380952380940255,971673600,0.005761904761900064,744349696,0.006011904761884948,1570955264,0.006500000000013578,719368192,0.01020238095242662,765673472,0.006250000000001624,764575744,0.006678571428572664,749281280
