Misurazioni,Nodo1 CPU,Nodo1 Memory,Nodo2 CPU,Nodo2 Memory,Nodo3 CPU,Nodo3 Memory,Nodo4 CPU,Nodo4 Memory,Nodo5 CPU,Nodo5 Memory,Nodo6 CPU,Nodo6 Memory,Nodo7 CPU,Nodo7 Memory
1,0.006714285714306676,1029873664,0.00599999999997722,842358784,0.005559523809540679,1631334400,0.00907142857144008,839979008,0.01265476190476772,605937664,0.009154761904761225,837115904,0.008761904761925485,829313024
2,0.00642857142854934,1029873664,0.005583333333369668,842358784,0.005321428571421837,1631334400,0.009416666666694374,839979008,0.013452380952356808,605941760,0.008714285714299172,837115904,0.008690476190477487,829300736
3,0.00760714285715624,1029873664,0.005761904761899523,842358784,0.0054166666666636346,1631334400,0.008988095238061485,839979008,0.012190476190529256,605954048,0.009511904761884743,837115904,0.009047619047609262,829300736
4,0.006607142857148487,1029873664,0.006928571428561338,842358784,0.005595238095260616,1631334400,0.009142857142898635,839979008,0.013642857142833366,605954048,0.008845238095243312,837115904,0.007952380952383735,829300736
5,0.006630952380971524,1029873664,0.00609523809521577,842358784,0.006464285714271444,1631334400,0.008559523809499514,839979008,0.013523809523781254,605958144,0.009083333333359181,837115904,0.009214285714303388,829313024
6,0.008071428571386043,1029873664,0.0073095238095290714,842358784,0.00569047619046885,1631334400,0.010083333333346088,839979008,0.012785714285751378,605962240,0.009285714285676065,837115904,0.009011904761889258,829313024
7,0.0071785714286036065,1029873664,0.006226190476212694,842358784,0.005702380952396068,1631334400,0.008547619047631032,839979008,0.014178571428539859,605970432,0.009642857142865969,837115904,0.009238095238109572,829313024
8,0.007642857142859394,1029873664,0.006071428571410057,842358784,0.005392857142838974,1631334400,0.008511904761866163,839979008,0.011809523809538513,605974528,0.02519047619049493,790605824,0.008440476190467158,829313024
9,0.00691666666665848,1029873664,0.0074047619047752,842358784,0.006547619047622296,1631334400,0.008833333333337752,839979008,0.013535714285704681,605982720,0.010821428571416832,790605824,0.008976190476175545,829313024
10,0.0068928571428257005,1029873664,0.006249999999998377,842358784,0.005952380952393404,1631334400,0.00885714285716539,839979008,0.012119047619072868,605986816,0.00869047619047343,790605824,0.008785714285701691,829313024
