Misurazioni,Nodo1 CPU,Nodo1 Memory,Nodo2 CPU,Nodo2 Memory,Nodo3 CPU,Nodo3 Memory,Nodo4 CPU,Nodo4 Memory,Nodo5 CPU,Nodo5 Memory,Nodo6 CPU,Nodo6 Memory,Nodo7 CPU,Nodo7 Memory
1,0.007309523809533943,971665408,0.005738095238077567,744345600,0.005821428571421383,1570955264,0.002297619047631846,759459840,0.005916666666697286,760324096,0.0026190476190419893,758259712,0.002702380952389322,740921344
2,0.006738095238113472,971665408,0.005702380952403647,744337408,0.005559523809534183,1570955264,0.0027023809523801187,759459840,0.0055595238095228145,760324096,0.0027380952380938314,758259712,0.0022261904761876395,740921344
3,0.0062499999999750975,971665408,0.0067619047618975294,744337408,0.005380952380932328,1570955264,0.002273809523806644,759459840,0.006023809523834632,760324096,0.0024761904761982393,758259712,0.0025595238095155264,740925440
4,0.006809523809529527,971665408,0.00546428571429834,744345600,0.005607142857158058,1570955264,0.0025357142857125215,759459840,0.004845238095169808,760324096,0.002916666666672135,758259712,0.0023214285714362043,740925440
5,0.007023809523830745,971665408,0.006130952380950865,744345600,0.0059880952381220045,1570955264,0.002583333333328548,759463936,0.006273809523905323,760328192,0.002345238095235151,758259712,0.002547619047602656,740941824
6,0.0076071428571421644,971665408,0.007238095238096775,744345600,0.006416666666654064,1570955264,0.0027619047619069532,759468032,0.005142857142813487,760328192,0.00270238095238472,758259712,0.0030357142857131486,740941824
7,0.006666666666666018,971665408,0.005607142857140735,744345600,0.0054523809523911535,1570955264,0.0024285714285673253,759468032,0.006595238095264579,760328192,0.002797619047629293,758259712,0.0025119047619138464,740941824
8,0.006511904761895321,971665408,0.006797619047625587,744345600,0.005404761904760238,1570955264,0.0021666666666733583,759476224,0.005321428571405866,760328192,0.0026071428571088164,758259712,0.0022738095238172005,740986880
9,0.0076071428571421644,971665408,0.005785714285714438,744345600,0.005583333333326361,1570955264,0.0023452380952337965,759484416,0.006023809523859806,760328192,0.002761904761931213,758263808,0.0026547619047575955,741003264
10,0.006630952380956365,971665408,0.005714285714272397,744345600,0.006095238095239049,1570955264,0.002321428571429708,759496704,0.005119047619013189,760332288,0.002511904761891921,758263808,0.0024880952380967655,741019648
