Misurazioni,Nodo1 CPU,Nodo1 Memory,Nodo2 CPU,Nodo2 Memory,Nodo3 CPU,Nodo3 Memory,Nodo4 CPU,Nodo4 Memory,Nodo5 CPU,Nodo5 Memory,Nodo6 CPU,Nodo6 Memory,Nodo7 CPU,Nodo7 Memory
1,0.006571428571416098,925171712,0.007071428571458952,744353792,0.005476190476164924,1571672064,0.009309523809504786,773283840,0.012678571428570998,719273984,0.00910714285714134,771239936,0.008952380952389863,760487936
2,0.006535714285721606,925171712,0.005857142857129951,744353792,0.005916666666663722,1571672064,0.008714285714285234,773283840,0.014190476190503076,719290368,0.009178571428579863,771239936,0.009595238095237218,760492032
3,0.0072976190476213435,925171712,0.005690476190470474,744353792,0.005630952380945905,1571672064,0.0093928571428643,773283840,0.012392857142858052,719302656,0.009380952380957923,771239936,0.009119047619049341,760492032
4,0.006726190476177051,925159424,0.006523809523794386,744353792,0.005261904761934083,1571672064,0.008916666666673446,773287936,0.013904761904753045,719319040,0.008880952380953572,771239936,0.00955952380952919,760492032
5,0.006702380952377833,925159424,0.006023809523834901,744353792,0.005952380952367959,1571672064,0.009130952380948444,773287936,0.012547619047628205,719319040,0.009488095238100683,771239936,0.009178571428565787,760492032
6,0.0065119047619299686,925171712,0.0055000000000074495,744353792,0.00598809523809331,1571672064,0.009273809523808938,773287936,0.014178571428565302,719409152,0.009333333333322747,771248128,0.009416666666670823,760492032
7,0.007499999999986141,925171712,0.006833333333347149,744353792,0.005559523809544468,1571672064,0.009095238095237133,773287936,0.012333333333325636,719413248,0.009416666666657561,771248128,0.008797619047609558,760492032
8,0.0063809523809465795,925171712,0.0058214285714289615,744353792,0.007071428571427553,1571672064,0.009392857142865653,773296128,0.014083333333354358,719454208,0.008869047619048758,771248128,0.008892857142847564,760504320
9,0.008226190476198967,925171712,0.007321428571421101,744353792,0.005476190476223932,1571672064,0.009535714285706966,773296128,0.012440476190524968,719536128,0.009988095238083446,771248128,0.009559523809538664,760504320
10,0.006488095238104766,925171712,0.005607142857132614,744353792,0.0054166666666630925,1571672064,0.009011904761906242,773296128,0.012488095238038408,719536128,0.008880952380961087,771252224,0.009666666666662745,760508416
