Misurazioni,Nodo1 CPU,Nodo1 Memory,Nodo2 CPU,Nodo2 Memory,Nodo3 CPU,Nodo3 Memory,Nodo4 CPU,Nodo4 Memory,Nodo5 CPU,Nodo5 Memory,Nodo6 CPU,Nodo6 Memory,Nodo7 CPU,Nodo7 Memory
1,0.007273809523812923,1014505472,0.0056309523809502365,740528128,0.005357142857164511,1566416896,0.005369047619049775,747212800,0.009154761904748976,765186048,0.005250000000007948,745922560,0.0052261904761903245,643878912
2,0.00694047619047015,1014505472,0.0057023809523884875,740528128,0.006214285714276815,1566416896,0.005154761904755053,747261952,0.008547619047616958,765198336,0.005297619047624787,745963520,0.005190476190472282,643911680
3,0.008226190476201128,1014505472,0.005999999999990212,740528128,0.0058333333333117875,1566416896,0.005345238095247579,747302912,0.009535714285706156,765341696,0.005488095238093767,746012672,0.0053452380952527245,643936256
4,0.006630952380950411,1014505472,0.0075714285714233096,740528128,0.006714285714309383,1566416896,0.005333333333331596,747347968,0.008130952380938488,765349888,0.005630952380954568,746065920,0.005416666666660524,643969024
5,0.007404761904768163,1014505472,0.005726190476213148,740528128,0.0057261904761844555,1566416896,0.005321428571421025,747388928,0.009214285714316584,765353984,0.0052857142857002755,746098688,0.005249999999986361,644018176
6,0.006857142857109011,1014505472,0.0071666666666606905,740528128,0.005619047619053876,1566416896,0.004976190476195155,747433984,0.00809523809525699,765366272,0.005226190476176791,746168320,0.005273809523824487,644055040
7,0.006678571428598647,1014505472,0.0057619047618886945,740528128,0.005488095238087269,1566416896,0.005202380952385153,747479040,0.007678571428559843,765378560,0.005142857142861736,746225664,0.004928571428571277,644096000
8,0.00766666666666565,1014505472,0.005928571428577405,740528128,0.006285714285728058,1566420992,0.005071428571421286,747524096,0.009940476190461737,765362176,0.005428571428578131,746246144,0.005190476190465786,644141056
9,0.006845238095251088,1014505472,0.006880952380950453,740528128,0.006130952380950324,1566420992,0.0052857142857200366,747491328,0.007761904761919899,765304832,0.005321428571412634,746176512,0.004880952380953898,644075520
10,0.0067619047619051085,1014505472,0.006142857142862923,740528128,0.006178571428570412,1566420992,0.005130952380946362,747417600,0.00910714285713674,765218816,0.005047619047622036,746115072,0.005345238095241083,644030464
