Misurazioni,Nodo1 CPU,Nodo1 Memory,Nodo2 CPU,Nodo2 Memory,Nodo3 CPU,Nodo3 Memory,Nodo4 CPU,Nodo4 Memory,Nodo5 CPU,Nodo5 Memory,Nodo6 CPU,Nodo6 Memory,Nodo7 CPU,Nodo7 Memory
1,0.008488095238096991,1014534144,0.008119047619045649,740704256,0.006380952380944954,1566445568,0.007392857142853971,759009280,0.011297619047617433,733552640,0.008095238095243183,761761792,0.008559523809534973,658997248
2,0.00657142857140473,1014534144,0.005654761904722926,740704256,0.005785714285733384,1566445568,0.007869047619041817,759070720,0.012523809523811397,733581312,0.007904761904753092,761806848,0.007392857142855832,659038208
3,0.006738095238104809,1014534144,0.0059166666666805035,740704256,0.006047619047615713,1566445568,0.007500000000011586,759128064,0.010809523809482849,733614080,0.007940476190463286,761843712,0.008107142857139813,659066880
4,0.007666666666675393,1014534144,0.006642857142861386,740704256,0.005297619047611794,1566445568,0.00791666666666109,759173120,0.012833333333365783,733634560,0.007500000000007527,761884672,0.007642857142861019,659095552
5,0.006452380952388077,1014521856,0.0057619047619071,740704256,0.005559523809530934,1566445568,0.007702380952386669,759214080,0.010285714285740388,733646848,0.007214285714299995,761921536,0.00786904761904865,659136512
6,0.006428571428543387,1014521856,0.0058690476190306415,740704256,0.005654761904770567,1566445568,0.00802380952379996,759263232,0.012011904761897898,733659136,0.00796428571427908,761954304,0.007500000000004954,659169280
7,0.0074404761905000096,1014521856,0.005761904761927131,740704256,0.00602380952382137,1566445568,0.007678571428574732,759312384,0.01078571428572586,733667328,0.007619047619054495,761995264,0.007880952380938987,659210240
8,0.006571428571420971,1014534144,0.006702380952348601,740704256,0.005404761904728297,1566445568,0.00770238095238112,759353344,0.011726190476172774,733671424,0.007773809523799205,762032128,0.007571428571433122,659238912
9,0.006916666666661189,1014534144,0.005678571428603346,740704256,0.005511904761896773,1566445568,0.007511904761906591,759386112,0.010773809523786463,733700096,0.007738095238099299,762052608,0.007833333333333789,659271680
10,0.007261904761929015,1014534144,0.005857142857151606,740704256,0.005250000000003616,1566445568,0.007738095238088471,759439360,0.012273809523825698,733724672,0.00816666666666763,762081280,0.007535714285720289,659312640
