Misurazioni,Nodo1 CPU,Nodo1 Memory,Nodo2 CPU,Nodo2 Memory,Nodo3 CPU,Nodo3 Memory,Nodo4 CPU,Nodo4 Memory,Nodo5 CPU,Nodo5 Memory,Nodo6 CPU,Nodo6 Memory,Nodo7 CPU,Nodo7 Memory
1,0.006523809523791682,1014530048,0.0056666666666669255,740704256,0.005250000000007948,1566445568,0.007047619047609695,755896320,0.011130952380968243,744550400,0.0071785714285678755,757846016,0.006880952380958303,655511552
2,0.007452380952392041,1014530048,0.0058214285714062244,740704256,0.005940476190465645,1566445568,0.006690476190483438,755961856,0.010404761904774368,744591360,0.0072619047618922026,757923840,0.0073214285714303055,655560704
3,0.006595238095244007,1014530048,0.006726190476186795,740704256,0.004928571428546374,1566445568,0.007214285714285818,756023296,0.010071428571415892,744583168,0.007095238095243822,757960704,0.006976190476187244,655605760
4,0.0062738095238008395,1014530048,0.005404761904788388,740704256,0.005154761904765067,1566445568,0.006607142857147946,756051968,0.011702380952394129,744615936,0.007499999999996428,757997568,0.007202380952369326,655646720
5,0.007488095238089239,1014530048,0.005916666666654519,740704256,0.006333333333364928,1566445568,0.007523809523816891,756084736,0.010785714285655753,744640512,0.007488095238097631,758046720,0.007321428571436259,655679488
6,0.007273809523801553,1014530048,0.0069285714285699995,740704256,0.005583333333320947,1566445568,0.007214285714264805,756109312,0.011369047619129852,744652800,0.0073452380952360175,758091776,0.006821428571433466,655720448
7,0.0067380952380993965,1014517760,0.005499999999998245,740704256,0.0048809523809446925,1566445568,0.007107142857145867,756150272,0.010273809523726555,744660992,0.007321428571434973,758132736,0.0069880952380840106,655749120
8,0.006619047619043224,1014517760,0.005559523809534722,740704256,0.00660714285716581,1566445568,0.006714285714284751,756199424,0.011273809523819844,744665088,0.007642857142863184,758173696,0.007416666666662357,655794176
9,0.00655952380953544,1014517760,0.006642857142871673,740704256,0.005107142857135776,1566445568,0.007297619047628653,756244480,0.01004761904765024,744669184,0.007035714285707345,758202368,0.007119047619065101,655826944
10,0.00765476190477362,1014530048,0.005785714285678165,740704256,0.00521428571428855,1566445568,0.006809523809519512,756281344,0.011999999999982048,744681472,0.007499999999992638,758251520,0.007333333333325309,655859712
