Misurazioni,Nodo1 CPU,Nodo1 Memory,Nodo2 CPU,Nodo2 Memory,Nodo3 CPU,Nodo3 Memory,Nodo4 CPU,Nodo4 Memory,Nodo5 CPU,Nodo5 Memory,Nodo6 CPU,Nodo6 Memory,Nodo7 CPU,Nodo7 Memory
1,0.006892857142831114,939823104,0.005738095238093809,717516800,0.0053333333333273995,1583988736,0.0013809523809554557,765829120,0.0050952380952405,733696000,0.002035714285719202,773971968,0.001583333333327833,741253120
2,0.006452380952378331,939823104,0.005904761904745707,717516800,0.006047619047628435,1583988736,0.0017023809523780506,765829120,0.004107142857081196,733700096,0.001642857142848611,773971968,0.0017380952380895971,741253120
3,0.007690476190493015,939823104,0.006750000000021743,717516800,0.005738095238097328,1583988736,0.0013928571428591583,765829120,0.004190476190519208,733700096,0.0020357142857145996,773971968,0.0014523809523858569,741253120
4,0.007202380952371966,939823104,0.005690476190459104,717516800,0.0061785714285514624,1583988736,0.001797619047617413,765829120,0.005023809523798458,733700096,0.0016785714285750448,773971968,0.0016904761904774279,741253120
5,0.007047619047599104,939823104,0.005726190476184998,717516800,0.005154761904775894,1583984640,0.0014047619047630635,765829120,0.004202380952372935,733700096,0.0019404761904733428,773971968,0.0014880952380984867,741253120
6,0.006440476190479265,939823104,0.006785714285712986,717516800,0.005178571428572946,1583988736,0.001666666666670023,765829120,0.004571428571444986,733700096,0.0015952380952420583,773971968,0.0015357142857096407,741253120
7,0.007607142857155157,939823104,0.005761904761914679,717516800,0.005476190476188473,1583988736,0.0015595238095262145,765829120,0.0049880952380925965,733700096,0.001869047619048897,773971968,0.0014404761904762337,741253120
8,0.006523809523802508,939823104,0.0055714285714180915,717516800,0.006011904761904437,1583988736,0.001535714285706122,765829120,0.004107142857120987,733700096,0.0015952380952317722,773971968,0.0015714285714257886,741253120
9,0.006333333333355727,939823104,0.00691666666667797,717516800,0.005095238095244288,1583984640,0.0013571428571432472,765829120,0.003952380952388185,733700096,0.0017857142857156392,773971968,0.0015595238095275344,741253120
10,0.00707142857143405,939823104,0.005988095238087896,717516800,0.0052976190476209965,1583988736,0.0014523809523882929,765829120,0.004952380952388358,733700096,0.0016904761904908943,773971968,0.0017380952380898677,741253120
