Misurazioni,Nodo1 CPU,Nodo1 Memory,Nodo2 CPU,Nodo2 Memory,Nodo3 CPU,Nodo3 Memory,Nodo4 CPU,Nodo4 Memory,Nodo5 CPU,Nodo5 Memory,Nodo6 CPU,Nodo6 Memory,Nodo7 CPU,Nodo7 Memory
1,0.006488095238077157,1014398976,0.005666666666717272,740442112,0.006059523809521275,1566371840,0.003250000000000597,738680832,0.006047619047575652,753618944,0.0034642857143061126,733483008,0.0032619047618934033,632467456
2,0.007547619047605687,1014398976,0.00672619047616514,740446208,0.005726190476194742,1566371840,0.002999999999995106,738721792,0.006000000000002122,753655808,0.0033690476190385995,733532160,0.0032976190476285004,632500224
3,0.006607142857147406,1014398976,0.005571428571444076,740450304,0.006476190476183503,1566371840,0.003297619047639462,738779136,0.006607142857119796,753655808,0.003273809523825224,733581312,0.0033571428571400747,632541184
4,0.00763095238096466,1014398976,0.007273809523796139,740450304,0.00585714285714944,1566371840,0.003297619047606304,738824192,0.005952380952381494,753664000,0.003559523809496752,733626368,0.0032142857142857684,632582144
5,0.006785714285702701,1014398976,0.0055357142857116876,740450304,0.005202380952360249,1566375936,0.0032619047618996306,738869248,0.0064642857143155635,753672192,0.0034285714285753476,733696000,0.003166666666659997,632639488
6,0.007154761904754586,1014398976,0.0060119047618973995,740450304,0.005416666666706402,1566375936,0.003119047619051008,738926592,0.005761904761879491,753684480,0.0034880952380939604,733745152,0.003035714285720998,632676352
7,0.006738095238100479,1014407168,0.005595238095254121,740458496,0.0060595238095017875,1566375936,0.0033095238095297314,738988032,0.00740476190474732,753696768,0.0031309523809557598,733794304,0.002976190476188311,632721408
8,0.006809523809526278,1014407168,0.006809523809527903,740458496,0.005440476190479093,1566375936,0.0028571428571356567,739106816,0.005702380952423677,753758208,0.003250000000000292,733880320,0.003130952380949804,632827904
9,0.007726190476204833,1014407168,0.005607142857117997,740458496,0.005095238095234002,1566375936,0.003238095238094188,739155968,0.005642857142849034,753778688,0.0035119047619099593,733978624,0.0030714285714295675,632913920
10,0.0063690476190453454,1014407168,0.005738095238124126,740458496,0.005607142857160765,1566375936,0.003916666666667233,739213312,0.006559523809560611,753786880,0.003357142857134119,734027776,0.0033452380952323463,632963072
