Misurazioni,Nodo1 CPU,Nodo1 Memory,Nodo2 CPU,Nodo2 Memory,Nodo3 CPU,Nodo3 Memory,Nodo4 CPU,Nodo4 Memory,Nodo5 CPU,Nodo5 Memory,Nodo6 CPU,Nodo6 Memory,Nodo7 CPU,Nodo7 Memory
1,0.006488095238089608,1014505472,0.006845238095227269,740667392,0.006202380952371793,1566425088,0.006142857142862113,750657536,0.00954761904762904,751886336,0.005416666666646312,749850624,0.006178571428576365,647561216
2,0.007404761904751922,1014505472,0.006166666666679465,740667392,0.005499999999996623,1566425088,0.005785714285709023,750706688,0.009535714285728622,751906816,0.00619047619048247,749895680,0.005916666666656684,647593984
3,0.0066547619047750695,1014505472,0.005785714285733925,740667392,0.005595238095240585,1566425088,0.005761904761911703,750743552,0.008726190476171715,751927296,0.005964285714303027,749944832,0.006166666666679463,647630848
4,0.006392857142866757,1014505472,0.006202380952367462,740667392,0.005738095238112216,1566425088,0.005559523809510499,750788608,0.008642857142847389,751935488,0.006261904761899066,750002176,0.005904761904761271,647655424
5,0.007428571428556552,1014505472,0.006857142857145283,740667392,0.005940476190456442,1566425088,0.005964285714297749,750829568,0.009845238095226435,751955968,0.006226190476196453,750043136,0.005904761904768717,647696384
6,0.006619047619035643,1014513664,0.005952380952353883,740667392,0.0055833333333436845,1566425088,0.00551190476190435,750878720,0.008880952380952697,751996928,0.006023809523804858,750092288,0.005857142857135365,647716864
7,0.006630952380967734,1014513664,0.0060833333333426875,740667392,0.006619047619031855,1566425088,0.006011904761899835,750927872,0.01051190476191036,752017408,0.006202380952369628,750137344,0.006190476190472117,647753728
8,0.008797619047638925,1014513664,0.00779761904764092,740667392,0.006333333333340567,1566425088,0.00659523809523619,750972928,0.00889285714289534,752037888,0.006500000000017976,750178304,0.006357142857155212,647782400
9,0.007404761904717274,1014513664,0.005607142857123413,740671488,0.00517857142857457,1566425088,0.006273809523816539,751017984,0.009904761904773197,752054272,0.006571428571425909,750235648,0.005999999999998604,647806976
10,0.0066785714285916105,1014513664,0.006047619047614089,740671488,0.0054999999999901265,1566425088,0.0055714285714264815,751067136,0.008404761904727193,752062464,0.006119047619042596,750284800,0.0060595238095167425,647835648
