Misurazioni,Nodo1 CPU,Nodo1 Memory,Nodo2 CPU,Nodo2 Memory,Nodo3 CPU,Nodo3 Memory,Nodo4 CPU,Nodo4 Memory,Nodo5 CPU,Nodo5 Memory,Nodo6 CPU,Nodo6 Memory,Nodo7 CPU,Nodo7 Memory
1,0.00665476190473934,1014435840,0.005654761904761904,740511744,0.005119047619047294,1566400512,0.004392857142855584,744198144,0.009059523809519902,761348096,0.00496428571428174,742264832,0.004583333333337015,640552960
2,0.007202380952403366,1014435840,0.006499999999993547,740511744,0.006392857142847269,1566404608,0.004761904761890145,744247296,0.013333333333315251,762015744,0.004702380952388045,742301696,0.004428571428564964,640585728
3,0.0062499999999978345,1014435840,0.005797619047634617,740511744,0.005416666666686374,1566404608,0.004238095238115203,744292352,0.007571428571396782,761442304,0.004404761904754379,742359040,0.00448809523810063,640614400
4,0.0065595238095284,1014435840,0.0054285714285821915,740511744,0.005202380952358084,1566404608,0.004809523809517,744341504,0.008369047619064639,761458688,0.0044999999999861635,742395904,0.004440476190478378,640647168
5,0.007535714285707703,1014435840,0.00563095238093183,740511744,0.005261904761925421,1566404608,0.004488095238089263,744390656,0.00713095238091666,761462784,0.0045833333333575865,742440960,0.004523809523813937,640671744
6,0.007178571428588449,1014435840,0.006511904761900194,740511744,0.006749999999992507,1566404608,0.004559523809542942,744439808,0.008952380952433715,761470976,0.0045952380952239014,742477824,0.004738095238089304,640712704
7,0.007214285714240175,1014435840,0.006202380952397236,740511744,0.005904761904754368,1566404608,0.0047976190475933,744488960,0.008035714285727009,761487360,0.00517857142857159,742514688,0.004809523809530059,640757760
8,0.006273809523817082,1014435840,0.006404761904767449,740511744,0.005952380952378787,1566408704,0.004416666666685116,744521728,0.008178571428515267,761495552,0.004928571428583526,742547456,0.004535714285712054,640802816
9,0.0065833333333422325,1014435840,0.00594047619044453,740511744,0.005940476190491088,1566408704,0.004452380952377445,744570880,0.00744047619050353,761499648,0.004738095238091741,742580224,0.004488095238090886,640835584
10,0.007214285714313259,1014435840,0.005452380952383573,740511744,0.005202380952377574,1566408704,0.004523809523807845,744620032,0.007952380952371555,761516032,0.0045952380952058326,742649856,0.00457142857141724,640868352
